metric,count,mean,std,min,max
cross_language_mrr,10,0.8576587562708201,0.013049793936203346,0.8345798386497194,0.8770277356166759
cross_language_mrr_de_to_en,10,0.8587274579049783,0.01190393212078245,0.8387527511571461,0.8770875532867726
cross_language_mrr_en_to_de,10,0.8565900546366609,0.014924510614063432,0.8304069261422914,0.8769679179465787
cross_language_top1_id_accuracy,10,0.7942965779467681,0.01877867690131893,0.7585551330798479,0.8222433460076045
cross_language_top1_id_accuracy_de_to_en,10,0.7960076045627377,0.01698186814474566,0.7699619771863118,0.8231939163498099
cross_language_top1_id_accuracy_en_to_de,10,0.7925855513307984,0.022874338476441644,0.747148288973384,0.8231939163498099
depth_accuracy,10,0.798384030418251,0.041471820051634314,0.7557034220532319,0.8631178707224335
depth_accuracy_by_language.de,10,0.8001901140684411,0.044679727362717594,0.747148288973384,0.8650190114068441
depth_accuracy_by_language.en,10,0.7965779467680608,0.039939039940655834,0.7547528517110266,0.8612167300380228
kl,10,7.760391883289113,0.39283684927599055,7.029706057380228,8.394609956180348
kl_structure,10,7.322505667630364,0.4283406763476107,6.541872445274802,7.791889134575339
kl_text,10,0.43788622547598444,0.21908453988084683,0.19508197290055893,0.9220735360594357
loss,10,1.6903205016080072,0.04508924941656301,1.6277977929395788,1.7707696101244759
mean_cross_language_parent_child_distance,10,4.920333241199023,0.20574909055887894,4.581655943439645,5.145224958600796
mean_parent_child_distance,10,4.913576087407294,0.2078456228300508,4.574405269298939,5.139270345025439
mean_same_id_cross_language_distance,10,1.1970038831460612,0.039775865385594196,1.142304027148526,1.2750466198522328
mean_sibling_distance,10,2.408881888445064,0.041929765837868296,2.3516741307911935,2.482536669610899
mean_unrelated_distance,10,4.807788425485671,0.15989862623088177,4.499830128802093,4.942351483120211
next_accuracy,10,0.36140684410646384,0.02125917742743987,0.33079847908745247,0.40399239543726234
next_accuracy_by_language.de,10,0.36311787072243346,0.02752097687022619,0.32509505703422054,0.42395437262357416
next_accuracy_by_language.en,10,0.3596958174904943,0.016422843141762438,0.33460076045627374,0.3840304182509506
parent_accuracy,10,0.573574144486692,0.033970830048671144,0.5057034220532319,0.6102661596958175
parent_accuracy_by_language.de,10,0.573764258555133,0.0338879771291209,0.5057034220532319,0.6064638783269962
parent_accuracy_by_language.en,10,0.5733840304182509,0.035512846605753344,0.5057034220532319,0.6197718631178707
perplexity,10,3.7441601753234863,0.10973560308609283,3.629179000854492,3.970393180847168
reconstruction_loss,10,1.3198163453270406,0.028991869459632197,1.2890064646216,1.3788651017581715
reconstruction_loss_by_language.de,10,1.2408645316335185,0.026104332222707097,1.2138376883000928,1.2979955989371688
reconstruction_loss_by_language.en,10,1.3897111101748825,0.026854320412961714,1.346547384565774,1.4385368378670043
