metric,count,mean,std,min,max
cross_language_mrr,10,0.9649984157160963,0.006637861975964887,0.9538973384030418,0.9743346007604563
cross_language_mrr_de_to_en,10,0.9638181242078581,0.008471526170628756,0.9469264892268695,0.976869455006337
cross_language_mrr_en_to_de,10,0.9661787072243345,0.005958278118971367,0.9565589353612167,0.9746514575411913
cross_language_top1_id_accuracy,10,0.9347908745247149,0.01149626966223936,0.9153992395437263,0.9496197718631179
cross_language_top1_id_accuracy_de_to_en,10,0.9326996197718631,0.014649615489784431,0.903041825095057,0.9543726235741445
cross_language_top1_id_accuracy_en_to_de,10,0.9368821292775665,0.010858529779773826,0.9182509505703422,0.9505703422053232
depth_accuracy,10,0.964638783269962,0.013276261301675482,0.9429657794676806,0.9819391634980988
depth_accuracy_by_language.de,10,0.9652091254752851,0.014452282028913518,0.9391634980988594,0.9828897338403042
depth_accuracy_by_language.en,10,0.9640684410646388,0.013062802680071688,0.9391634980988594,0.9809885931558935
kl,10,10.973601616130155,0.2069706884030796,10.63826297311222,11.319475230048685
kl_structure,10,10.089317456413717,0.12503428123324978,9.939153222476735,10.329251569860121
kl_text,10,0.8842841576127445,0.1962199077468115,0.6345974066678215,1.2505402810433333
loss,10,1.702633578637067,0.020122783761496586,1.6614175053203808,1.7312732444090002
mean_cross_language_parent_child_distance,10,6.214859264893798,0.10890021970373367,6.00434728555367,6.356737062191458
mean_parent_child_distance,10,6.21263107683847,0.108846839887799,6.001499199913186,6.354852715668651
mean_same_id_cross_language_distance,10,0.7597744104186845,0.0195472675772643,0.7203221608080791,0.7870418652042237
mean_sibling_distance,10,1.802120408906049,0.02601897428752139,1.7688937255572448,1.8433354204738295
mean_unrelated_distance,10,5.836510200384905,0.06485822744903577,5.743597639037629,5.968122534935465
next_accuracy,10,0.6201520912547529,0.01941998639859454,0.5960076045627376,0.6539923954372624
next_accuracy_by_language.de,10,0.6197718631178707,0.021434137547893247,0.5817490494296578,0.6520912547528517
next_accuracy_by_language.en,10,0.620532319391635,0.021021722168785006,0.5836501901140685,0.655893536121673
parent_accuracy,10,0.8600760456273764,0.009418697720400103,0.8450570342205324,0.8754752851711026
parent_accuracy_by_language.de,10,0.8595057034220532,0.010808485935026195,0.8403041825095057,0.876425855513308
parent_accuracy_by_language.en,10,0.8606463878326996,0.009053458256269662,0.8479087452471483,0.8745247148288974
perplexity,10,3.2854125261306764,0.06321067091580095,3.1675891876220703,3.3735899925231934
reconstruction_loss,10,1.1893248515970567,0.01930772162622385,1.1529707978753483,1.2159774163190056
reconstruction_loss_by_language.de,10,1.1137301601837797,0.023081590897120124,1.0641851494294157,1.1365382240752304
reconstruction_loss_by_language.en,10,1.2585629597022958,0.019139535034138472,1.2233359702639706,1.2818195801724046
