metric,count,mean,std,min,max
cross_language_mrr,10,0.9662468314321927,0.005769724508549048,0.9565906210392903,0.9773447401774399
cross_language_mrr_de_to_en,10,0.9659410646387833,0.007245526899554237,0.9519961977186312,0.9771863117870723
cross_language_mrr_en_to_de,10,0.9665525982256019,0.005448999077680272,0.9600760456273765,0.9775031685678073
cross_language_top1_id_accuracy,10,0.9365019011406844,0.010323892183613768,0.9182509505703422,0.9553231939163498
cross_language_top1_id_accuracy_de_to_en,10,0.935361216730038,0.013323064665163907,0.908745247148289,0.9543726235741445
cross_language_top1_id_accuracy_en_to_de,10,0.9376425855513308,0.010011872070028637,0.9258555133079848,0.9562737642585551
depth_accuracy,10,0.9642585551330799,0.013585730997071353,0.94106463878327,0.9809885931558935
depth_accuracy_by_language.de,10,0.964828897338403,0.014949462752960002,0.9372623574144486,0.9809885931558935
depth_accuracy_by_language.en,10,0.9636882129277566,0.012783119417992034,0.94106463878327,0.9809885931558935
kl,10,10.981943113663618,0.2115716621345107,10.65007344414206,11.32262482362635
kl_structure,10,10.07863676407758,0.1272203374928638,9.93589979059556,10.314774905934053
kl_text,10,0.9033063232898713,0.19726669978661523,0.663890912252314,1.2608975662904627
loss,10,1.7040372939670787,0.025164758134462922,1.660797722199384,1.736046131919412
mean_cross_language_parent_child_distance,10,6.205995717076208,0.11055534756976229,5.991910524680665,6.3572343567203236
mean_parent_child_distance,10,6.203806461419673,0.11038917000935113,5.989600151490155,6.3548955131817415
mean_same_id_cross_language_distance,10,0.7485672503143209,0.017293417182841393,0.7128329456645727,0.7714072516889173
mean_sibling_distance,10,1.804533402657225,0.025876190570304616,1.7709784426472404,1.844427511547551
mean_unrelated_distance,10,5.8313769216206595,0.06627086163066928,5.742570745401056,5.96333264466021
next_accuracy,10,0.618916349809886,0.021945391751096055,0.5846007604562737,0.6568441064638784
next_accuracy_by_language.de,10,0.6165399239543726,0.022691016479492496,0.5836501901140685,0.655893536121673
next_accuracy_by_language.en,10,0.6212927756653992,0.024589392776228704,0.5779467680608364,0.6577946768060836
parent_accuracy,10,0.8608365019011407,0.009412299872234913,0.8460076045627376,0.8745247148288974
parent_accuracy_by_language.de,10,0.8610266159695817,0.009753837849591851,0.8422053231939164,0.8745247148288974
parent_accuracy_by_language.en,10,0.8606463878326996,0.010141397145046794,0.8460076045627376,0.8745247148288974
perplexity,10,3.291439151763916,0.07780557275228132,3.173470973968506,3.3887391090393066
reconstruction_loss,10,1.1910723840489106,0.02371361697339448,1.1548259047900928,1.2204579044790829
reconstruction_loss_by_language.de,10,1.10994469120022,0.023991294501413355,1.0654594752045186,1.1414266245673363
reconstruction_loss_by_language.en,10,1.2639456826697737,0.026064856950462945,1.2190029505541116,1.300134104920884
