metric,count,mean,std,min,max
cross_language_mrr,10,0.9142667522264188,0.00801595651859928,0.9042295084405643,0.9296668733369503
cross_language_mrr_de_to_en,10,0.9133867450414574,0.007804234278660351,0.8990199674866012,0.9247465657939434
cross_language_mrr_en_to_de,10,0.9151467594113794,0.009452784820938807,0.9049785410882829,0.9345871808799565
cross_language_top1_id_accuracy,10,0.871958174904943,0.011211985133472815,0.8564638783269962,0.8906844106463878
cross_language_top1_id_accuracy_de_to_en,10,0.870722433460076,0.011265138678473494,0.8498098859315589,0.8859315589353612
cross_language_top1_id_accuracy_en_to_de,10,0.8731939163498099,0.013264156205653386,0.8555133079847909,0.8954372623574145
depth_accuracy,10,0.9320342205323193,0.024857611347418523,0.8897338403041825,0.9638783269961977
depth_accuracy_by_language.de,10,0.9309885931558936,0.027375398985576428,0.8859315589353612,0.9657794676806084
depth_accuracy_by_language.en,10,0.9330798479087452,0.02329791694321605,0.8935361216730038,0.9638783269961977
kl,10,10.227411937713622,0.21614329497147478,9.860527206869687,10.57570737950942
kl_structure,10,9.500677299499511,0.18947707792843801,9.193722949308508,9.787415728849524
kl_text,10,0.7267346075352501,0.19876938234841784,0.5324092069092918,1.1819634016822367
loss,10,1.6938747441067414,0.023614191230381033,1.6544483759823967,1.7192896744784187
mean_cross_language_parent_child_distance,10,5.897058872588567,0.1311640277869037,5.687791220714591,6.038098325159738
mean_parent_child_distance,10,5.891991873352514,0.13096720859382066,5.681702646905976,6.035404125849406
mean_same_id_cross_language_distance,10,0.9502035939959745,0.039760228624064455,0.8820980005957781,0.9993066173542589
mean_sibling_distance,10,2.0560181315456116,0.03244176978009389,2.006537224629741,2.102483600894094
mean_unrelated_distance,10,5.630251931883536,0.07970518690974697,5.5248961788619875,5.7530474377222385
next_accuracy,10,0.5596007604562738,0.019001106208221055,0.5332699619771863,0.5950570342205324
next_accuracy_by_language.de,10,0.5606463878326996,0.019479864229864273,0.5304182509505704,0.5950570342205324
next_accuracy_by_language.en,10,0.5585551330798479,0.020055807802131807,0.5228136882129277,0.5950570342205324
parent_accuracy,10,0.8029467680608365,0.01102233575129643,0.785171102661597,0.8174904942965779
parent_accuracy_by_language.de,10,0.8024714828897338,0.01197198806193368,0.785171102661597,0.8174904942965779
parent_accuracy_by_language.en,10,0.8034220532319392,0.012392300696152419,0.785171102661597,0.8212927756653993
perplexity,10,3.3593763589859007,0.0672645018074374,3.230830192565918,3.4371368885040283
reconstruction_loss,10,1.211573516621309,0.020142836889358338,1.1727391481399536,1.234638817170087
reconstruction_loss_by_language.de,10,1.133832559057515,0.022028049671868482,1.0834011019636016,1.1641973269529668
reconstruction_loss_by_language.en,10,1.28685624883882,0.01899872733026842,1.2469195810787579,1.313864459782952
