seed,cross_language_mrr,cross_language_mrr_de_to_en,cross_language_mrr_en_to_de,cross_language_top1_id_accuracy,cross_language_top1_id_accuracy_de_to_en,cross_language_top1_id_accuracy_en_to_de,depth_accuracy,depth_accuracy_by_language.de,depth_accuracy_by_language.en,kl,kl_structure,kl_text,loss,mean_cross_language_parent_child_distance,mean_parent_child_distance,mean_same_id_cross_language_distance,mean_sibling_distance,mean_unrelated_distance,next_accuracy,next_accuracy_by_language.de,next_accuracy_by_language.en,parent_accuracy,parent_accuracy_by_language.de,parent_accuracy_by_language.en,perplexity,reconstruction_loss,reconstruction_loss_by_language.de,reconstruction_loss_by_language.en
0,0.9103491530567996,0.9153637413476807,0.9053345647659169,0.8688212927756654,0.876425855513308,0.8612167300380228,0.8992395437262357,0.8935361216730038,0.9049429657794676,10.460596869973575,9.278633454266716,1.1819634016822367,1.666176256011514,5.720900035777303,5.717820610384491,0.9371671404108801,2.068568953962037,5.551505055660984,0.5332699619771863,0.5437262357414449,0.5228136882129277,0.7908745247148289,0.7927756653992395,0.7889733840304183,3.288478136062622,1.1904249401653515,1.1298888594252074,1.2469195810787579
1,0.9097611808689265,0.9071488926787683,0.912373469059083,0.8697718631178707,0.8631178707224335,0.876425855513308,0.9115969581749049,0.9125475285171103,0.9106463878326996,10.33331444684197,9.787415728849524,0.5458987127332127,1.7099552645402796,5.874162231222053,5.8676999365203875,0.9526245559463029,2.0355906127206174,5.73587422730125,0.564638783269962,0.5665399239543726,0.5627376425855514,0.7927756653992395,0.7870722433460076,0.7984790874524715,3.3707168102264404,1.2151254906373865,1.1428298091253855,1.283453108806574
2,0.9175075720402035,0.9194858926671241,0.9155292514132817,0.873574144486692,0.8783269961977186,0.8688212927756654,0.9448669201520913,0.9486692015209125,0.94106463878327,10.127038226408118,9.510970732745003,0.6160674761323368,1.6544483759823967,5.996254418856377,5.993034141371475,0.9471737777268932,2.0464544335614034,5.629669083048635,0.5627376425855514,0.55893536121673,0.5665399239543726,0.80893536121673,0.8079847908745247,0.8098859315589354,3.230830192565918,1.1727391481399536,1.0834011019636016,1.2748474960318084
3,0.9078273783452359,0.9106762156021877,0.9049785410882829,0.8593155893536122,0.8631178707224335,0.8555133079847909,0.9401140684410646,0.9372623574144486,0.9429657794676806,10.150783651015338,9.473796900580911,0.6769866312251371,1.7123522618237663,5.999379984216194,5.994269133992278,0.9974213443951462,2.0582442573912734,5.681899599022739,0.5513307984790875,0.5570342205323194,0.5456273764258555,0.8003802281368821,0.8098859315589354,0.7908745247148289,3.42771053314209,1.2318925296559053,1.1641973269529668,1.2830648160479368
4,0.9171362834467093,0.9162126159283563,0.9180599509650614,0.8754752851711026,0.8745247148288974,0.876425855513308,0.9638783269961977,0.9657794676806084,0.9619771863117871,10.412783678840189,9.667268304263844,0.7455154972917893,1.7192896744784187,6.038098325159738,6.035404125849406,0.9372769062736642,2.102483600894094,5.6658463402166115,0.5522813688212928,0.5475285171102662,0.5570342205323194,0.814638783269962,0.8174904942965779,0.811787072243346,3.4160025119781494,1.228471089811886,1.1466113520439134,1.3005084296823002
5,0.9234413737977696,0.9209565628394829,0.9259261847560557,0.8859315589353612,0.8802281368821293,0.8916349809885932,0.9477186311787072,0.9581749049429658,0.9372623574144486,10.171458412619199,9.510937522439395,0.660520967315225,1.7167909285601448,6.00534113684601,5.999330887904746,0.9019771477512081,2.006537224629741,5.590313478114487,0.5788973384030418,0.5874524714828897,0.5703422053231939,0.8022813688212928,0.7927756653992395,0.811787072243346,3.4371368885040283,1.234638817170087,1.1477582481877433,1.313864459782952
6,0.9296668733369503,0.9247465657939434,0.9345871808799565,0.8906844106463878,0.8859315589353612,0.8954372623574145,0.9591254752851711,0.9543726235741445,0.9638783269961977,10.155279159545898,9.570908939137178,0.5843701730756199,1.6821525447508867,5.785153878217487,5.780520030069443,0.8820980005957781,2.0121493598857483,5.629269932386086,0.5693916349809885,0.5665399239543726,0.5722433460076045,0.8174904942965779,0.8136882129277566,0.8212927756653993,3.31269907951355,1.1977633798823637,1.1290881518175393,1.2734841586519103
7,0.9160448093251915,0.9145341141260794,0.9175555045243035,0.8783269961977186,0.876425855513308,0.8802281368821293,0.9372623574144486,0.9334600760456274,0.94106463878327,9.860527206869687,9.328117819393382,0.5324092069092918,1.6959968174205107,5.852286336164713,5.848090130584548,0.9491435528481414,2.0569720237931133,5.540197986500345,0.5541825095057035,0.5532319391634981,0.5551330798479087,0.785171102661597,0.785171102661597,0.785171102661597,3.4016714096069336,1.2242668306126314,1.1438244217475557,1.3032630390767361
8,0.9042295084405643,0.8990199674866012,0.909439049394527,0.8564638783269962,0.8498098859315589,0.8631178707224335,0.8897338403041825,0.8859315589353612,0.8935361216730038,10.57570737950942,9.685000644010657,0.8907067354987649,1.710350800963009,6.011221158711208,6.002047089942388,0.9993066173542589,2.072468101268723,5.7530474377222385,0.5950570342205324,0.5950570342205324,0.5950570342205324,0.814638783269962,0.8136882129277566,0.8155893536121673,3.3776955604553223,1.2171936666264254,1.1349085758620796,1.2950072477752266
9,0.9067033896058375,0.9057228819443504,0.9076838972673249,0.8612167300380228,0.8593155893536122,0.8631178707224335,0.9268060836501901,0.9201520912547528,0.9334600760456274,10.026630345512839,9.193722949308508,0.8329072734888863,1.6712345165364884,5.687791220714591,5.681702646905976,0.9978468966574723,2.1007127473493674,5.5248961788619875,0.5342205323193916,0.5304182509505704,0.5380228136882129,0.8022813688212928,0.8041825095057035,0.8003802281368821,3.330822467803955,1.2032192735111011,1.1158177434491567,1.2941501514539973
